Name,HP,S/M,Skl,Spd,Lck,Def,Res
Eliwood,80,45,50,40,45,30,35
Lyn,70,40,60,60,55,20,30
Hector,90,60,45,35,30,50,25
Sain,80,60,35,40,35,20,20
Kent,85,40,50,45,20,25,25
Florina,60,40,50,55,50,15,35
Wil,75,50,50,40,40,20,25
Dorcas,80,60,40,20,45,25,15
Serra,50,50,30,40,60,15,55
Erk,65,40,40,50,30,20,40
Rath,80,50,40,50,30,10,25
Matthew,75,30,40,70,50,25,20
Wallace,70,45,40,20,30,35,35
Lowen,90,30,30,30,50,40,30
Rebecca,60,40,50,60,50,15,30
Marcus,65,30,50,25,30,15,35
Bartre,85,50,35,40,30,30,25
Oswin,90,40,30,30,35,55,30
Guy,75,30,50,70,45,15,25
Merlinus,120,0,90,90,100,30,15
Priscilla,45,40,50,40,65,15,50
Raven,85,55,40,45,35,25,15
Lucius,55,60,50,40,20,10,60
Canas,70,45,40,35,25,25,45
Dart,70,65,20,60,35,20,15
Fiora,70,35,60,50,30,20,50
Legault,60,25,45,60,60,25,25
Nils/Ninian,85,5,5,70,80,30,70
Isadora,75,30,35,50,45,20,25
Heath,80,50,50,45,20,30,20
Hawkeye,50,40,30,25,40,20,35
Geitz,85,50,30,40,40,20,20
Farina,75,50,40,45,45,25,30
Pent,50,30,20,40,40,30,35
Louise,60,40,40,40,30,20,30
Karel,70,30,50,50,30,10,15
Harken,80,35,30,40,20,30,25
Nino,55,50,55,60,45,15,50
Jaffar,65,15,40,35,20,30,30
Vaida,60,45,25,40,30,25,15
Karla,60,25,45,55,40,10,20
Renault,60,40,30,35,15,20,40
Athos,0,0,0,0,0,0,0
