bases,growths
Bandit,Brigand
Nomadic Trooper,Nomad Trooper
Mamkute,Divine Dragon
,
bases,promo
Bandit,Brigand
Nomadic Trooper,Nomad Trooper
,
bases,maxes
Nomadic Trooper,Nomad Trooper
Mamkute,Divine Dragon
Bard,Non-promoted
Lord,Non-promoted
Shaman,Non-promoted
Mercenary,Non-promoted
Troubadour,Non-promoted
Mage,Non-promoted
Thief,Non-promoted
Priest,Non-promoted
Wyvern Rider,Non-promoted
Knight,Non-promoted
Nomad,Non-promoted
Dancer,Non-promoted
Myrmidon,Non-promoted
Cavalier,Non-promoted
Archer,Non-promoted
Fighter,Non-promoted
Pirate,Non-promoted
Pegasus Knight,Non-promoted
Bandit,Non-promoted
,
promo,maxes
Lord,Non-promoted
Shaman,Non-promoted
Knight,Non-promoted
Troubadour,Non-promoted
Archer,Non-promoted
Mage,Non-promoted
Priest,Non-promoted
Wyvern Rider,Non-promoted
Fighter,Non-promoted
Pirate,Non-promoted
Nomad,Non-promoted
Brigand,Non-promoted
Pegasus Knight,Non-promoted
Myrmidon,Non-promoted
Cavalier,Non-promoted
Mercenary,Non-promoted
,
