bases,maxes
Lord (Eliwood),Non-promoted
Shaman,Non-promoted
Lord,Non-promoted
Troubadour,Non-promoted
Mercenary,Non-promoted
Mage,Non-promoted
Thief,Non-promoted
Wyvern Rider,Non-promoted
Knight,Non-promoted
Nomad,Non-promoted
Myrmidon,Non-promoted
Cavalier,Non-promoted
Archer,Non-promoted
Lord (Lyn),Non-promoted
Monk,Non-promoted
Fighter,Non-promoted
Pirate,Non-promoted
Pegasus Knight,Non-promoted
Cleric,Non-promoted
Lord (Hector),Non-promoted
,
promo,maxes
Lord (Eliwood),Non-promoted
Shaman,Non-promoted
Troubadour,Non-promoted
Archer,Non-promoted
Mage,Non-promoted
Thief,Non-promoted
Wyvern Rider,Non-promoted
Fighter,Non-promoted
Pirate,Non-promoted
Nomad,Non-promoted
Pegasus Knight,Non-promoted
Myrmidon,Non-promoted
Knight,Non-promoted
Cavalier,Non-promoted
Lord (Lyn),Non-promoted
Monk,Non-promoted
Cleric,Non-promoted
Mercenary,Non-promoted
Lord (Hector),Non-promoted
,
