Name,Item
Sigurd,0
Noish,1
Alec,1
Arden,1
Cuan,0
Ethlin,1
Fin,1
Lex,1
Azel,1
Midayle,1
Adean,1
Dew,1
Ira,1
Diadora,0
Jamka,1
Holyn,1
Lachesis,1
Levin,1
Sylvia,0
Fury,1
Beowolf,1
Briggid,0
Claude,0
Tiltyu,1
Name,
Mana,1
Radney,1
Roddlevan,1
Oifey,0
Tristan,1
Dimna,1
Yuria,1
Femina,1
Amid,1
Johan,1
Johalva,1
Shanan,0
Daisy,1
Janne,1
Aless,1
Laylea,0
Linda,1
Asaello,1
Hawk,0
Hannibal,0
Sharlow,1
Character,
Celice,1
Leaf,1
Altenna,0
Rana,1
,
,
,
,
,
,
,
,
,
,
,
,
Lakche,1
,
,
,
,
,
,
,
,
,
,
,
,
Character,1
Skasaher,1
,
,
,
,
,
,
,
,
,
,
,
,
Delmud,1
,
,
,
,
,
,
,
,
,
,
,
,
Character,1
Lester,1
,
,
,
,
,
,
,
,
,
,
,
,
Fee,1
,
,
,
,
,
,
,
,
,
,
,
,
Character,1
Arthur,1
,
,
,
,
,
,
,
,
,
,
,
,
Patty,1
,
,
,
,
,
,
,
,
,
,
,
,
Character,1
Nanna,1
,
,
,
,
,
,
,
,
,
,
,
,
Leen,1
,
,
,
,
,
,
,
,
,
,
,
,
Character,1
Tinny,1
,
,
,
,
,
,
,
,
,
,
,
,
Faval,1
,
,
,
,
,
,
,
,
,
,
,
,
Character,1
Sety,0
,
,
,
,
,
,
,
,
,
,
,
,
Corpul,1
