Character,HP,Str,Mag,Skl,Spd,Lck,Def,Mdf,Holy Blood
Celice,140,55,30,60,35,45,45,30,"Baldo, Narga"
Mana,50,10,30,20,20,40,10,20,–
Radney,70,40,5,30,40,20,30,20,–
Roddlevan,80,30,5,50,30,20,30,5,–
Oifey,100,40,5,50,30,40,30,10,Baldo
Tristan,130,30,5,30,20,10,30,5,–
Dimna,90,30,5,50,20,30,40,5,–
Yuria,90,10,100,20,30,30,10,50,"Narga, Fala"
Femina,60,30,10,20,50,50,20,5,–
Amid,90,20,40,50,40,20,20,20,Tordo
Johan,110,40,5,20,50,10,60,5,Neir
Johalva,110,40,0,50,10,10,60,5,Neir
Shanan,120,30,5,80,20,20,40,5,Odo
Daisy,50,10,10,30,50,30,20,10,–
Leaf,130,60,7,50,45,25,50,10,"Noba, Baldo"
Janne,60,20,20,50,20,10,30,20,–
Aless,130,90,5,20,30,50,40,30,Hezul
Laylea,50,50,10,20,40,30,20,20,–
Linda,90,10,40,40,30,20,10,20,Tordo
Asaello,90,40,5,10,20,60,30,5,–
Hawk,60,10,20,20,50,20,20,10,–
Hannibal,60,50,5,10,10,10,30,5,–
Sharlow,70,10,50,20,20,30,10,30,–
Altenna,135,65,7,45,60,25,55,12,"Noba, Baldo"
