Name,Class,Lv,HP,Str,Mag,Skl,Spd,Lck,Def,Mdf,Gold,Skill(s)
Sigurd,Lord Knight,5,35,14,0,11,12,7,9,3,5000,Pursuit
Noish,Social Knight,3,33,11,0,7,8,4,8,0,2000,"Critical, Charge"
Alec,Social Knight,2,32,9,0,9,10,4,7,0,2000,"Pursuit, Awareness"
Arden,Sword Armour,3,36,13,0,5,4,3,13,0,2000,Ambush
Cuan,Duke Knight,4,34,16,0,10,10,5,10,3,5000,Continue
Ethlin,Troubadour,1,28,5,8,11,12,8,4,6,4000,Critical
Fin,Lance Knight,1,32,9,0,8,10,8,7,0,2000,"Pursuit, Prayer"
Lex,Axe Knight,4,33,10,0,10,11,8,9,0,5000,"Ambush, Elite"
Azel,Mage,1,30,0,10,7,9,2,2,6,5000,Pursuit
Midayle,Arch Knight,2,32,9,0,7,9,3,7,0,2000,"Pursuit, Charge"
Adean,Priest,3,28,0,13,8,9,11,1,10,5000,–
Dew,Thief,1,28,3,0,6,15,12,1,0,15000,"Steal, Sun Sword, Bargain"
Ira,Swordfighter,4,32,11,0,16,17,3,7,1,3000,"Pursuit, Awareness, Shooting Star Sword"
Diadora,Shaman,3,26,0,14,9,12,6,3,16,1000,Awareness
Jamka,Bow Fighter,6,36,11,0,14,14,4,9,0,5000,"Pursuit, Continue, Charge"
Holyn,Swordfighter,12,40,14,0,17,17,1,11,1,10000,"Pursuit, Moonlight Sword"
Lachesis,Princess,2,26,6,8,9,13,5,7,9,10000,Charisma
Levin,Bard,6,34,1,12,12,16,7,5,9,8000,"Continue, Critical"
Sylvia,Dancer,1,28,3,0,4,12,6,1,5,5000,"Continue, Dance, Prayer"
Fury,Pegasus Knight,6,32,11,1,12,18,7,9,9,8000,Pursuit
Beowolf,Free Knight,9,38,14,0,11,11,3,10,0,2000,"Pursuit, Charge"
Briggid,Sniper,12,40,20,0,22,21,7,14,9,10000,Pursuit
Claude,High Priest,20,34,0,21,14,15,9,5,20,10000,–
Tiltyu,Thunder Mage,3,28,0,10,15,10,9,1,9,5000,Wrath
