Name,Lv,Class,HP,Str,Skl,Spd,Lck,Def,Res,Mov,Con,Weapon Rank,Affin
Caellach,12,Hero,47,19,14,13,14,15,13,6,13,"A,  A",
Orson,13,Paladin,48,18,15,14,6,14,11,8,12,"A,  A",
Riev,16,Bishop,49,14,21,19,9,16,18,6,7,"S,  A",
Ismaire,9,Swordmaster,33,16,20,23,12,8,15,6,7,A,
Selena,11,Mage Knight,38,13,13,16,10,11,17,7,6,"A,  B",
Glen,12,Wyvern Lord,46,20,17,13,7,18,5,8,12,"A,  A",
Hayden,10,Ranger,37,17,14,15,17,12,12,7,10,"A,  A",
Valter,13,Wyvern Knight,45,19,17,17,3,13,12,8,11,S,
Fado,11,General,46,20,14,12,5,18,11,5,18,"A,  A,  A",
Lyon,14,Necromancer,44,22,13,11,4,17,19,6,7,"S,  A",
